hour,avg_LinkedIn
2015-12-03 16,6.842105263157895
2015-12-03 19,11.666666666666666
2015-12-12 03,0.6666666666666666
2015-12-14 17,63.30769230769231
2015-12-19 18,0.2857142857142857
2015-12-23 08,7.7894736842105265
2015-12-24 18,4.571428571428571
2015-12-26 04,3.2
2015-12-31 09,1.75
2015-11-01 14,-1.0
2015-11-09 06,1.4285714285714286
2015-11-13 14,9.266666666666667
2015-11-19 02,7.714285714285714
2015-12-03 01,10.909090909090908
2015-12-06 06,0.0
2015-12-08 00,4.595744680851064
2015-12-10 21,8.411764705882353
2015-12-17 04,7.4375
2016-01-12 06,43.72222222222222
2015-10-29 09,-1.0
2015-11-03 05,-1.0
2015-11-04 14,-1.0
2015-11-05 09,-1.0
2015-11-06 09,-1.0
2015-11-13 01,2.7857142857142856
2015-11-14 11,5.0
2015-11-14 14,6.666666666666667
2015-11-19 04,7.076923076923077
2015-12-06 05,1.5555555555555556
2015-12-11 02,6.3076923076923075
2015-12-14 22,11.785714285714286
2015-12-15 09,60.095238095238095
2015-12-26 12,1.875
2016-01-03 11,10.375
2016-01-09 23,0.3
2015-11-10 23,8.727272727272727
2015-11-22 09,0.9090909090909091
2015-11-25 03,2.6153846153846154
2015-12-07 12,21.214285714285715
2015-12-19 10,68.0
2015-12-20 01,14.6
2015-12-25 10,0.4
2015-12-03 09,0.7619047619047619
2015-10-24 00,-1.0
2015-11-24 20,15.892857142857142
2015-11-30 04,69.42857142857143
2015-12-07 09,9.2
2015-12-13 15,2.4285714285714284
2015-12-17 00,7.151515151515151
2015-12-22 06,5.928571428571429
2015-12-26 08,0.5
2016-01-07 18,22.8
2016-01-09 08,1.875
2015-11-24 08,4.619047619047619
2012-01-28 00,-1.0
2015-03-01 00,-1.0
2015-11-09 09,8.5
2015-11-13 03,2.5454545454545454
2015-11-16 19,23.857142857142858
2015-11-19 15,20.612903225806452
2015-11-22 12,6.076923076923077
2015-11-29 21,39.888888888888886
2015-11-30 07,2.590909090909091
2015-12-10 00,1.1428571428571428
2015-12-11 12,-0.125
2015-12-25 20,-0.16666666666666666
2015-12-28 18,19.2
2015-12-30 03,36.3
2016-01-10 15,19.642857142857142
2015-03-01 07,-1.0
2015-11-12 20,6.888888888888889
2015-11-19 12,28.75
2015-11-21 18,11.8
2015-12-04 03,10.25
2015-12-17 17,2.4583333333333335
2015-12-23 12,6.1923076923076925
2016-01-04 08,2.8
2016-01-05 23,18.736842105263158
2016-01-10 16,9.071428571428571
2015-10-28 01,-1.0
2015-11-20 02,2.7083333333333335
2015-11-27 22,6.9411764705882355
2015-12-14 21,16.142857142857142
2015-12-24 04,2.2857142857142856
2015-12-30 04,2.7333333333333334
2016-01-07 02,8.333333333333334
2015-11-03 09,-1.0
2015-11-03 12,-1.0
2015-11-14 09,6.0
2015-11-26 10,0.9444444444444444
2015-11-27 11,1.0
2015-12-16 23,2.888888888888889
2015-12-21 20,3.736842105263158
2015-12-25 09,0.7142857142857143
2016-01-06 04,3.9411764705882355
2016-01-06 08,6.857142857142857
2015-10-25 00,-1.0
2015-11-03 23,-1.0
2015-11-11 11,51.333333333333336
2015-11-11 21,2.090909090909091
2015-11-15 22,4.857142857142857
2015-11-18 11,4.2727272727272725
2015-11-19 03,37.3
2015-11-21 21,4.0
2015-11-24 14,6.826086956521739
2015-11-26 04,1.4444444444444444
2015-11-30 01,16.916666666666668
2015-12-24 02,15.0
2015-12-29 03,58.125
2016-01-01 04,1.2
2015-11-07 00,-1.0
2015-11-14 10,1.1666666666666667
2015-11-22 03,1.8571428571428572
2015-12-08 02,8.375
2015-12-18 02,2.769230769230769
2015-12-23 16,3.4583333333333335
2015-12-31 15,35.0
2016-01-04 22,8.055555555555555
2016-01-06 16,10.36
2016-01-12 15,4.828571428571428
2015-10-23 00,-1.0
2015-11-15 21,1.2727272727272727
2015-11-16 05,14.5
2015-11-23 13,8.323529411764707
2015-11-27 12,0.4444444444444444
2015-11-30 09,7.086956521739131
2015-12-01 21,27.696969696969695
2015-12-06 17,73.1875
2015-12-13 18,2.4
2015-12-21 22,6.647058823529412
2015-12-30 12,58.03846153846154
2015-11-05 05,-1.0
2015-11-18 04,2.3125
2015-11-27 02,1.2
2015-12-07 08,48.92307692307692
2015-12-08 18,34.89473684210526
2015-12-12 08,0.0
2015-12-22 01,36.53333333333333
2015-12-29 23,3.0555555555555554
2016-01-01 14,20.6875
2016-01-12 12,13.40625
2016-01-13 06,29.066666666666666
2015-03-01 13,-1.0
2015-10-26 07,-1.0
2015-11-05 22,-1.0
2015-11-15 20,2.625
2015-11-17 00,16.475409836065573
2015-12-05 16,18.4
2015-12-25 07,0.6666666666666666
2015-12-26 14,13.153846153846153
2016-01-02 18,2.4285714285714284
2016-01-05 22,4.235294117647059
2015-11-21 02,14.4
2015-11-23 21,5.904761904761905
2015-11-27 06,3.5454545454545454
2015-11-28 12,5.916666666666667
2015-12-06 00,3.7222222222222223
2015-12-10 03,2.8
2015-12-12 14,10.454545454545455
2015-12-15 03,3.0625
2015-12-19 12,0.6
2015-12-26 09,1.875
2015-12-28 12,2.3333333333333335
2015-12-31 19,0.35714285714285715
2015-10-20 09,-1.0
2015-11-10 07,2.090909090909091
2015-11-16 12,20.0
2015-11-22 14,80.6470588235294
2015-11-23 11,26.291666666666668
2015-12-05 13,4.75
2015-12-13 16,5.846153846153846
2015-12-29 07,29.846153846153847
2016-01-11 15,4.72
2016-01-13 15,24.09375
,33.63775330316548
2015-10-17 00,-1.0
2015-12-16 16,5.521739130434782
2015-12-31 06,8.5
2016-01-09 02,30.333333333333332
2016-01-12 19,11.096153846153847
2015-12-29 16,1.7727272727272727
2015-03-01 11,-1.0
2015-12-02 00,2.740740740740741
2015-12-05 23,9.3
2015-12-07 16,6.586206896551724
2015-12-08 06,7.909090909090909
2015-12-18 14,5.185185185185185
2016-01-01 10,2.375
2016-01-13 01,16.736842105263158
2016-01-13 23,11.4375
2015-10-22 18,-1.0
2015-11-09 23,2.909090909090909
2015-11-13 12,11.222222222222221
2015-11-15 04,1.75
2015-11-20 10,3.125
2015-11-23 19,3.8421052631578947
2015-11-24 02,2.0
2015-11-27 05,1.5555555555555556
2015-12-06 19,33.9
2015-12-09 08,2.9166666666666665
2015-12-23 03,-0.1111111111111111
2015-12-30 09,0.875
2016-01-02 07,0.0
2016-01-02 23,0.0
2016-01-12 18,41.77777777777778
2015-11-22 22,10.0
2015-11-28 00,1.5625
2015-12-01 09,0.7272727272727273
2015-12-01 12,33.793103448275865
2015-12-06 16,11.0
2015-12-07 00,6.7105263157894735
2015-12-09 06,3.5625
2015-10-29 14,-1.0
2015-11-06 08,-1.0
2015-11-12 15,3.5
2015-11-15 16,12.133333333333333
2015-11-21 08,3.75
2015-12-18 18,7.277777777777778
2015-12-21 04,3.0
2015-12-21 11,4.333333333333333
2015-12-23 20,4.590909090909091
2015-12-25 16,3.8
2015-12-25 23,4.2
2016-01-03 20,1.5
2016-01-13 21,21.291666666666668
2015-11-10 08,12.636363636363637
2015-11-11 00,3.0
2015-11-11 03,20.928571428571427
2015-11-11 07,1.4285714285714286
2015-11-12 01,4.666666666666667
2015-11-14 08,0.0
2015-12-26 23,0.6
2015-12-29 17,94.94117647058823
2015-11-16 08,4.066666666666666
2015-12-09 05,11.5625
2015-12-15 11,6.153846153846154
2015-12-16 00,1.9655172413793103
2015-12-20 19,7.857142857142857
2015-12-21 23,2.5714285714285716
2015-12-24 03,1.1666666666666667
2015-12-26 10,8.333333333333334
2015-12-31 05,4.473684210526316
2015-11-06 04,-1.0
2015-11-27 23,3.75
2015-12-14 13,2.3684210526315788
2015-12-24 12,29.923076923076923
2015-12-25 14,2.0
2015-12-31 23,7.5
2016-01-13 07,1.75
2015-11-09 22,22.666666666666668
2015-11-12 22,4.111111111111111
2015-11-28 08,0.6666666666666666
2015-12-04 22,17.5
2015-12-19 06,0.16666666666666666
2015-12-27 11,0.0
2016-01-03 13,4.125
2016-01-09 22,0.42857142857142855
2016-01-11 20,11.565217391304348
2015-03-01 09,-1.0
2015-11-05 12,-1.0
2015-11-09 19,2.5
2015-12-01 07,1.0
2015-12-10 06,0.9333333333333333
2015-12-17 21,6.125
2015-12-18 22,6.45
2015-12-19 20,2.1666666666666665
2015-12-27 13,21.846153846153847
2016-01-06 13,18.4
2016-01-09 01,9.636363636363637
2016-01-10 08,0.42857142857142855
2016-01-10 23,8.142857142857142
2016-01-11 03,13.090909090909092
2016-01-11 07,3.111111111111111
2015-11-05 07,-1.0
2015-11-06 06,-1.0
2015-11-18 06,3.3636363636363638
2015-11-26 14,86.63636363636364
2015-11-10 19,6.470588235294118
2015-11-12 19,7.375
2015-11-16 03,9.368421052631579
2015-12-06 12,5.909090909090909
2015-12-16 02,4.5
2015-11-24 07,1.3043478260869565
2015-08-27 00,-1.0
2015-11-11 20,54.25
2015-12-06 15,2.909090909090909
2015-12-08 14,26.0
2015-10-21 07,-1.0
2015-11-05 02,-1.0
2015-11-16 07,2.888888888888889
2015-11-28 10,17.2
2015-12-04 10,12.789473684210526
2015-12-09 17,101.2
2015-12-12 05,3.0
2015-12-28 02,19.1
2016-01-04 09,1.35
2015-10-19 00,-1.0
2015-11-08 15,0.0
2015-11-09 01,-1.0
2015-11-19 18,6.476190476190476
2015-11-21 17,10.235294117647058
2015-11-28 17,5.0
2015-12-02 12,5.0
2015-12-04 02,1.0
2015-12-12 13,3.5714285714285716
2015-12-15 02,6.357142857142857
2015-12-22 22,11.117647058823529
2016-01-02 17,47.77777777777778
2016-01-03 14,9.222222222222221
2016-01-06 07,5.866666666666666
2015-11-07 23,-1.0
2015-11-10 00,25.75
2015-11-14 17,-0.3333333333333333
2015-11-15 07,11.0
2015-11-20 00,5.146341463414634
2015-11-21 23,18.0
2015-11-30 00,26.533333333333335
2015-12-03 03,1.3333333333333333
2015-12-05 04,1.6
2015-12-11 19,14.25
2015-12-13 09,0.0
2015-12-15 23,4.538461538461538
2015-12-31 12,2.7333333333333334
2015-11-11 02,0.7142857142857143
2015-11-18 10,-0.2222222222222222
2016-01-05 18,69.42857142857143
2016-01-07 19,18.391304347826086
2002-04-02 00,-1.0
2015-10-30 12,-1.0
2015-11-15 08,-0.3333333333333333
2015-11-16 20,6.5
2015-11-20 22,9.823529411764707
2015-11-24 11,9.428571428571429
2015-11-25 16,2.3461538461538463
2015-12-01 03,8.523809523809524
2015-12-02 05,5.1
2015-12-23 22,4.285714285714286
2016-01-03 19,1.1666666666666667
2015-10-21 06,-1.0
2015-11-13 04,3.1
2015-11-15 09,0.75
2015-11-17 04,1.0
2015-12-06 04,0.0
2015-12-07 11,9.947368421052632
2015-12-17 01,30.45
2015-12-25 22,2.75
2015-12-30 02,24.857142857142858
2016-01-08 23,4.4
2015-12-29 12,2.923076923076923
2015-06-11 00,-1.0
2015-12-14 19,10.296296296296296
2015-12-20 03,1.0
2015-12-28 14,33.41935483870968
2016-01-08 07,0.36363636363636365
2015-11-09 12,5.625
2015-11-14 03,0.3333333333333333
2015-11-18 20,10.5
2015-11-25 13,32.63636363636363
2015-11-29 17,3.7857142857142856
2015-12-09 19,2.608695652173913
2015-12-21 02,9.25
2015-11-10 15,25.80952380952381
2015-11-25 11,1.4
2015-12-18 04,10.6
2016-01-07 22,4.095238095238095
2016-01-08 11,1.7083333333333333
2016-01-13 20,23.105263157894736
2016-01-14 00,3.72
2016-01-14 16,10.157894736842104
2015-11-24 09,3.45
2015-10-18 00,-1.0
2015-11-12 16,12.947368421052632
2015-11-18 21,19.083333333333332
2015-12-19 23,0.0
2015-12-28 22,1.4444444444444444
2015-11-12 04,3.0
2015-11-17 01,28.46153846153846
2015-12-04 05,12.133333333333333
2015-12-07 21,10.75
2015-12-08 21,2.25
2015-12-09 00,7.566666666666666
2015-12-23 00,4.3428571428571425
2015-12-27 04,1.4285714285714286
2015-12-30 22,3.4285714285714284
2016-01-02 21,0.45454545454545453
2016-01-07 08,10.76923076923077
2016-01-08 21,2.3125
2016-01-10 22,2.111111111111111
2015-03-01 16,-1.0
2015-10-31 04,-1.0
2015-11-14 01,0.0
2015-11-24 01,3.0
2015-12-19 22,12.0
2015-12-22 15,4.6
2015-12-30 14,23.130434782608695
2016-01-09 15,2.111111111111111
2016-01-09 16,25.4
2016-01-11 21,8.052631578947368
2015-11-08 09,0.0
2015-11-23 14,13.925925925925926
2015-12-11 05,14.9
2015-12-12 02,0.4444444444444444
2016-01-13 08,14.692307692307692
2016-02-28 14,78.68181818181819
2015-11-07 14,-1.0
2015-11-10 09,4.0625
2015-11-11 09,14.235294117647058
2015-11-21 12,3.8333333333333335
2015-12-14 02,21.857142857142858
2015-12-18 00,3.1923076923076925
2015-12-18 12,0.9473684210526315
2015-12-22 04,-0.1111111111111111
2015-12-22 21,40.09090909090909
2015-12-23 21,3.3125
2015-12-24 08,3.1
2015-12-27 00,1.8
2015-10-24 19,-1.0
2015-11-13 19,0.8333333333333334
2015-11-19 20,5.8
2015-12-06 07,12.0
2015-12-08 19,14.541666666666666
2015-12-16 17,12.91304347826087
2015-12-17 12,20.62962962962963
2015-12-21 03,9.6
2016-01-02 22,67.7
2015-10-22 16,-1.0
2015-10-31 12,-1.0
2015-11-07 09,-1.0
2015-11-19 16,12.333333333333334
2015-12-07 02,4.354838709677419
2015-12-21 05,0.47619047619047616
2015-12-21 08,9.758620689655173
2015-09-09 00,-1.0
2015-10-21 00,-1.0
2015-10-31 13,-1.0
2015-11-13 05,52.166666666666664
2015-11-22 21,6.214285714285714
2015-11-23 04,1.3
2015-11-25 05,9.409090909090908
2015-12-01 06,14.571428571428571
2015-12-09 15,11.321428571428571
2015-12-24 15,18.714285714285715
2015-12-26 00,10.789473684210526
2015-12-29 04,31.545454545454547
2015-12-30 20,10.0
2016-01-03 16,10.357142857142858
2016-01-04 23,28.52173913043478
2016-01-05 14,2.9523809523809526
2015-10-28 07,-1.0
2015-11-17 11,2.5
2015-11-17 14,8.11111111111111
2015-12-01 20,14.045454545454545
2015-12-04 23,6.9375
2016-01-01 05,258.57142857142856
2016-01-02 13,2.0555555555555554
2016-01-11 01,4.875
2015-10-13 21,-1.0
2015-11-15 02,1.0
2015-11-24 00,1.8333333333333333
2015-11-28 21,1.3333333333333333
2015-11-29 16,13.047619047619047
2015-12-09 10,11.666666666666666
2015-12-12 06,9.666666666666666
2015-12-29 22,5.5
2016-01-07 17,8.818181818181818
2016-01-11 11,13.64
2015-11-06 20,-1.0
2015-11-18 13,21.681818181818183
2015-11-24 03,39.833333333333336
2015-11-26 12,4.2
2015-11-27 07,12.166666666666666
2015-11-29 09,1.4444444444444444
2015-11-29 13,1.2857142857142858
2015-12-07 01,8.35483870967742
2015-12-08 10,25.047619047619047
2015-12-23 02,2.75
2015-12-24 09,13.470588235294118
2015-12-30 00,0.06451612903225806
2016-01-05 06,31.266666666666666
2015-11-03 16,-1.0
2015-11-19 05,8.0
2015-12-03 18,17.666666666666668
2015-12-11 18,2.9411764705882355
2015-12-15 17,39.0625
2015-12-25 15,0.2857142857142857
2016-01-01 23,0.4
2016-01-02 12,2.857142857142857
2015-10-27 10,-1.0
2015-11-08 21,4.0
2015-11-12 12,95.92307692307692
2015-11-18 17,46.0
2015-11-26 01,14.529411764705882
2016-01-01 02,24.4
2016-01-01 17,3.0
2015-11-20 01,12.466666666666667
2015-11-20 14,25.22222222222222
2015-11-28 07,5.333333333333333
2015-11-30 21,39.92
2015-12-02 22,9.518518518518519
2015-12-20 15,0.9285714285714286
2015-10-20 02,-1.0
2015-11-04 05,-1.0
2015-12-10 12,1.9583333333333333
2015-12-16 21,6.8
2015-12-21 06,0.8888888888888888
2015-12-28 05,6.928571428571429
2016-01-01 11,10.875
2015-11-04 06,-1.0
2015-11-06 02,-1.0
2015-11-16 21,53.785714285714285
2015-11-30 20,12.0
2015-12-09 07,12.071428571428571
2015-12-17 18,8.166666666666666
2016-01-06 23,25.375
2015-11-14 15,1.5
2015-11-16 16,8.73913043478261
2015-12-03 22,46.0625
2015-12-20 22,5.363636363636363
2015-12-25 06,0.25
2016-01-04 00,3.32
2016-01-11 05,4.7727272727272725
2015-10-26 00,-1.0
2015-10-27 12,-1.0
2015-10-30 11,-1.0
2015-11-13 02,19.263157894736842
2015-11-21 07,5.0
2015-11-26 23,0.0
2015-12-06 23,9.692307692307692
2015-12-12 15,2.3076923076923075
2015-12-12 18,5.5
2015-12-13 17,5.6
2015-12-24 21,2.8461538461538463
2016-01-01 13,21.5
2016-01-04 02,120.75
2015-11-03 13,-1.0
2015-12-04 06,2.5
2015-12-05 07,19.0
2015-12-09 20,1.4
2015-12-19 03,0.0
2015-10-27 06,-1.0
2015-10-29 20,-1.0
2015-11-04 11,-1.0
2015-11-27 14,3.5625
2015-12-05 15,1.0
2015-12-10 05,3.111111111111111
2015-12-16 07,0.0
2015-12-18 03,148.88888888888889
2015-12-22 12,8.433333333333334
2016-01-09 18,34.375
2015-11-07 15,-1.0
2015-11-20 04,0.7333333333333333
2015-12-02 20,19.88888888888889
2015-12-14 12,15.95
2015-12-17 09,4.0
2015-12-18 09,10.947368421052632
2015-12-22 20,15.176470588235293
2015-12-30 06,0.2857142857142857
2016-01-02 05,0.3333333333333333
2015-03-01 03,-1.0
2015-11-09 17,7.0
2015-12-15 18,47.30434782608695
2015-12-28 20,3.6666666666666665
2016-01-03 03,4.714285714285714
2016-01-09 21,65.5
2015-10-15 10,-1.0
2015-11-21 13,6.142857142857143
2015-11-22 13,3.6666666666666665
2015-11-26 20,8.5
2015-11-28 18,1.1111111111111112
2015-11-30 05,9.5
2015-12-05 20,4.888888888888889
2015-12-12 00,1.7692307692307692
2015-12-17 10,19.0
2015-12-27 18,5.090909090909091
2015-12-30 23,4.45
2016-01-02 19,79.5
2016-01-04 06,2.25
2016-01-04 10,2.9523809523809526
2016-01-09 00,10.357142857142858
2016-01-11 16,30.76
2015-03-01 20,-1.0
2015-10-22 06,-1.0
2015-10-30 01,-1.0
2015-11-18 00,6.511627906976744
2015-11-19 14,15.578947368421053
2015-12-04 14,30.176470588235293
2015-12-10 22,1.2142857142857142
2015-12-24 00,0.88
2016-01-03 18,32.21052631578947
2015-11-06 12,-1.0
2015-11-11 16,18.625
2015-11-13 07,12.76923076923077
2015-11-13 10,8.294117647058824
2015-11-23 12,29.333333333333332
2015-11-28 03,1.0
2015-12-04 13,4.5
2015-12-08 03,0.0
2015-12-18 07,4.636363636363637
2015-12-24 16,6.111111111111111
2016-01-08 20,0.4
2015-11-01 00,-1.0
2015-11-22 08,2.625
2015-12-05 08,0.8333333333333334
2016-01-10 13,7.777777777777778
2016-01-11 06,1.7586206896551724
2015-10-22 20,-1.0
2015-11-06 10,-1.0
2015-11-15 01,14.666666666666666
2015-12-01 05,3.25
2015-12-04 12,0.5714285714285714
2015-12-18 15,12.409090909090908
2016-01-02 03,0.4
2016-01-13 18,21.88
2015-11-09 14,25.444444444444443
2015-11-17 15,17.866666666666667
2015-11-25 00,5.5
2015-11-28 20,2.7777777777777777
2015-11-30 22,5.0
2015-12-01 19,20.55
2015-12-06 14,9.88888888888889
2015-12-11 11,20.846153846153847
2015-12-22 05,17.96153846153846
2015-12-28 00,13.727272727272727
2015-12-30 07,44.18181818181818
2016-01-06 12,8.545454545454545
2015-11-19 00,11.457627118644067
2015-12-04 16,19.916666666666668
2015-12-27 22,1.1666666666666667
2015-12-29 11,10.625
2016-01-14 09,28.625
2015-11-14 22,3.3333333333333335
2015-11-17 21,5.4375
2015-11-21 14,1.5454545454545454
2015-11-22 06,0.0
2015-11-27 09,3.769230769230769
2015-11-29 03,3.4285714285714284
2015-11-29 11,0.2
2015-11-29 23,10.555555555555555
2015-12-14 10,0.6470588235294118
2015-12-22 03,44.857142857142854
2016-01-05 00,2.4347826086956523
2016-01-08 13,10.67741935483871
2016-01-09 05,-0.125
2016-01-14 05,0.875
2015-11-19 01,29.53846153846154
2015-11-19 08,0.2727272727272727
2015-12-11 01,1.0
2015-12-12 09,3.5
2016-01-05 16,19.178571428571427
2016-01-08 09,10.708333333333334
2016-01-08 15,5.266666666666667
2016-01-11 04,27.25
2015-11-13 23,0.3333333333333333
2015-11-16 17,39.05555555555556
