hour,avg_GooglePlus
2015-12-10 01,3.7857142857142856
2015-12-13 23,1.75
2015-12-26 06,0.6666666666666666
2015-10-19 09,-1.0
2015-11-15 18,115.71428571428571
2015-11-21 20,4.2
2015-11-22 20,1.9047619047619047
2015-11-26 22,9.88888888888889
2015-12-02 06,2.0
2015-12-07 15,4.95
2015-12-19 17,3.75
2016-01-09 12,1.1666666666666667
2015-12-29 18,8.666666666666666
2015-11-04 10,-1.0
2015-11-06 00,-1.0
2015-11-06 22,-1.0
2015-12-10 09,1.9444444444444444
2015-12-10 10,5.55
2015-12-16 10,2.1875
2015-12-18 16,3.6
2016-01-12 09,0.5789473684210527
2016-01-14 06,0.5
2015-11-05 11,-1.0
2015-11-11 05,9.9
2015-11-21 22,20.0
2015-12-07 22,0.9230769230769231
2015-12-08 20,2.764705882352941
2015-12-08 23,2.5
2015-12-24 11,1.6666666666666667
2015-12-27 12,1.8
2016-01-05 09,0.5161290322580645
2016-01-13 09,2.8461538461538463
2015-12-29 19,3.0
2015-07-22 00,-1.0
2015-11-09 07,0.2222222222222222
2015-11-22 19,8.818181818181818
2015-11-26 15,6.125
2015-11-27 15,4.909090909090909
2015-12-14 16,6.592592592592593
2015-12-15 06,7.0
2015-12-20 14,4.7272727272727275
2015-12-29 15,21.90909090909091
2015-10-23 12,-1.0
2015-11-02 07,-1.0
2015-11-13 17,6.555555555555555
2015-12-07 19,10.083333333333334
2015-12-14 23,1.0869565217391304
2015-12-16 04,2.588235294117647
2015-12-28 13,2.1363636363636362
2015-11-09 18,7.7
2015-11-13 16,2.0833333333333335
2015-11-17 18,0.6666666666666666
2015-12-08 08,3.2941176470588234
2015-12-21 18,3.607142857142857
2015-12-26 03,0.6
2015-12-26 07,0.5714285714285714
2015-11-02 19,-1.0
2015-11-15 03,16.0
2015-12-02 08,3.142857142857143
2015-12-10 20,9.0
2015-12-20 05,1.0
2015-12-21 21,2.8214285714285716
2016-01-07 04,4.1
2016-01-13 11,2.0
2015-03-01 18,-1.0
2015-10-20 06,-1.0
2015-11-10 21,3.125
2015-11-14 16,2.6
2015-11-17 22,1.1666666666666667
2015-11-29 02,3.0
2015-12-01 17,5.090909090909091
2015-12-03 16,8.526315789473685
2015-12-03 19,1.25
2015-12-12 03,18.666666666666668
2015-12-14 17,2.5384615384615383
2015-12-19 18,12.142857142857142
2015-12-23 08,2.3157894736842106
2015-12-24 18,3.4285714285714284
2015-12-26 04,1.0
2015-12-31 09,0.6666666666666666
2015-11-01 14,-1.0
2015-11-09 06,-0.14285714285714285
2015-11-13 14,6.266666666666667
2015-11-19 02,1.0
2015-12-03 01,3.909090909090909
2015-12-06 06,0.0
2015-12-08 00,6.531914893617022
2015-12-10 21,18.705882352941178
2015-12-17 04,1.1875
2016-01-12 06,5.5
2015-10-29 09,-1.0
2015-11-03 05,-1.0
2015-11-04 14,-1.0
2015-11-05 09,-1.0
2015-11-06 09,-1.0
2015-11-13 01,0.5
2015-11-14 11,0.5
2015-11-14 14,0.0
2015-11-19 04,3.5384615384615383
2015-12-06 05,-0.1111111111111111
2015-12-11 02,2.230769230769231
2015-12-14 22,7.928571428571429
2015-12-15 09,3.6666666666666665
2015-12-26 12,15.375
2016-01-03 11,4.5
2016-01-09 23,3.8
2015-11-10 23,5.454545454545454
2015-11-22 09,0.7272727272727273
2015-11-25 03,5.0
2015-12-07 12,36.07142857142857
2015-12-19 10,1.6666666666666667
2015-12-20 01,10.7
2015-12-25 10,0.6
2015-12-03 09,6.857142857142857
2015-10-24 00,-1.0
2015-11-24 20,17.428571428571427
2015-11-30 04,2.0
2015-12-07 09,0.4
2015-12-13 15,0.7857142857142857
2015-12-17 00,0.24242424242424243
2015-12-22 06,5.428571428571429
2015-12-26 08,0.3
2016-01-07 18,5.2
2016-01-09 08,2.375
2015-11-24 08,1.9523809523809523
2012-01-28 00,-1.0
2015-03-01 00,-1.0
2015-11-09 09,8.25
2015-11-13 03,0.45454545454545453
2015-11-16 19,1.2857142857142858
2015-11-19 15,5.838709677419355
2015-11-22 12,2.9615384615384617
2015-11-29 21,2.3333333333333335
2015-11-30 07,1.3181818181818181
2015-12-10 00,1.5714285714285714
2015-12-11 12,0.5625
2015-12-25 20,0.3333333333333333
2015-12-28 18,8.466666666666667
2015-12-30 03,3.4
2016-01-10 15,2.0
2015-03-01 07,-1.0
2015-11-12 20,3.3333333333333335
2015-11-19 12,2.8
2015-11-21 18,29.0
2015-12-04 03,15.583333333333334
2015-12-17 17,1.9166666666666667
2015-12-23 12,0.8076923076923077
2016-01-04 08,10.533333333333333
2016-01-05 23,12.631578947368421
2016-01-10 16,6.0
2015-10-28 01,-1.0
2015-11-20 02,4.416666666666667
2015-11-27 22,18.705882352941178
2015-12-14 21,1.7142857142857142
2015-12-24 04,3.857142857142857
2015-12-30 04,1.5333333333333334
2016-01-07 02,5.958333333333333
2015-11-03 09,-1.0
2015-11-03 12,-1.0
2015-11-14 09,7.0
2015-11-26 10,6.388888888888889
2015-11-27 11,1.2941176470588236
2015-12-16 23,2.2777777777777777
2015-12-21 20,4.368421052631579
2015-12-25 09,2.0
2016-01-06 04,2.1176470588235294
2016-01-06 08,1.3571428571428572
2015-10-25 00,-1.0
2015-11-03 23,-1.0
2015-11-11 11,15.666666666666666
2015-11-11 21,4.181818181818182
2015-11-15 22,6.285714285714286
2015-11-18 11,0.5454545454545454
2015-11-19 03,0.1
2015-11-21 21,21.7
2015-11-24 14,4.173913043478261
2015-11-26 04,1.1111111111111112
2015-11-30 01,1.5833333333333333
2015-12-24 02,17.0
2015-12-29 03,0.5
2016-01-01 04,1.0
2015-11-07 00,-1.0
2015-11-14 10,1.3333333333333333
2015-11-22 03,0.14285714285714285
2015-12-08 02,2.0
2015-12-18 02,11.076923076923077
2015-12-23 16,5.041666666666667
2015-12-31 15,15.476190476190476
2016-01-04 22,16.555555555555557
2016-01-06 16,1.72
2016-01-12 15,0.8285714285714286
2015-10-23 00,-1.0
2015-11-15 21,1.1818181818181819
2015-11-16 05,4.35
2015-11-23 13,4.176470588235294
2015-11-27 12,0.4444444444444444
2015-11-30 09,2.9130434782608696
2015-12-01 21,5.454545454545454
2015-12-06 17,9.25
2015-12-13 18,0.8
2015-12-21 22,16.647058823529413
2015-12-30 12,4.846153846153846
2015-11-05 05,-1.0
2015-11-18 04,0.3125
2015-11-27 02,1.3
2015-12-07 08,6.3076923076923075
2015-12-08 18,5.7368421052631575
2015-12-12 08,1.3333333333333333
2015-12-22 01,5.4
2015-12-29 23,5.333333333333333
2016-01-01 14,4.0625
2016-01-12 12,3.03125
2016-01-13 06,2.2666666666666666
2015-03-01 13,-1.0
2015-10-26 07,-1.0
2015-11-05 22,-1.0
2015-11-15 20,0.25
2015-11-17 00,2.459016393442623
2015-12-05 16,16.0
2015-12-25 07,6.0
2015-12-26 14,4.461538461538462
2016-01-02 18,0.42857142857142855
2016-01-05 22,4.205882352941177
2015-11-21 02,54.8
2015-11-23 21,2.0
2015-11-27 06,0.6363636363636364
2015-11-28 12,2.1666666666666665
2015-12-06 00,15.777777777777779
2015-12-10 03,3.0
2015-12-12 14,8.090909090909092
2015-12-15 03,3.875
2015-12-19 12,1.0
2015-12-26 09,0.625
2015-12-28 12,0.5238095238095238
2015-12-31 19,1.4285714285714286
2015-10-20 09,-1.0
2015-11-10 07,0.0
2015-11-16 12,24.0
2015-11-22 14,7.9411764705882355
2015-11-23 11,3.4583333333333335
2015-12-05 13,5.0
2015-12-13 16,3.076923076923077
2015-12-29 07,0.23076923076923078
2016-01-11 15,9.72
2016-01-13 15,4.65625
,135.67531868753622
2015-10-17 00,-1.0
2015-12-16 16,4.260869565217392
2015-12-31 06,1.5714285714285714
2016-01-09 02,13.0
2016-01-12 19,5.115384615384615
2015-12-29 16,3.409090909090909
2015-03-01 11,-1.0
2015-12-02 00,3.5925925925925926
2015-12-05 23,1.6
2015-12-07 16,6.517241379310345
2015-12-08 06,0.8181818181818182
2015-12-18 14,8.37037037037037
2016-01-01 10,2.0
2016-01-13 01,25.210526315789473
2016-01-13 23,1.5625
2015-10-22 18,-1.0
2015-11-09 23,3.3636363636363638
2015-11-13 12,0.7777777777777778
2015-11-15 04,0.5
2015-11-20 10,23.9375
2015-11-23 19,8.894736842105264
2015-11-24 02,0.875
2015-11-27 05,0.4444444444444444
2015-12-06 19,1.6
2015-12-09 08,11.75
2015-12-23 03,-0.1111111111111111
2015-12-30 09,1.1875
2016-01-02 07,2.2
2016-01-02 23,4.6
2016-01-12 18,4.333333333333333
2015-11-22 22,8.538461538461538
2015-11-28 00,4.75
2015-12-01 09,0.5454545454545454
2015-12-01 12,9.068965517241379
2015-12-06 16,8.7
2015-12-07 00,2.1052631578947367
2015-12-09 06,0.3125
2015-10-29 14,-1.0
2015-11-06 08,-1.0
2015-11-12 15,2.8
2015-11-15 16,0.4
2015-11-21 08,8.75
2015-12-18 18,6.277777777777778
2015-12-21 04,0.75
2015-12-21 11,9.38888888888889
2015-12-23 20,2.6818181818181817
2015-12-25 16,2.8
2015-12-25 23,3.6
2016-01-03 20,1.625
2016-01-13 21,7.291666666666667
2015-11-10 08,3.272727272727273
2015-11-11 00,-0.24324324324324326
2015-11-11 03,7.357142857142857
2015-11-11 07,-0.07142857142857142
2015-11-12 01,0.5555555555555556
2015-11-14 08,0.0
2015-12-26 23,1.4
2015-12-29 17,52.23529411764706
2015-11-16 08,1.5333333333333334
2015-12-09 05,0.4375
2015-12-15 11,1.2307692307692308
2015-12-16 00,2.3793103448275863
2015-12-20 19,5.0
2015-12-21 23,4.571428571428571
2015-12-24 03,1.5
2015-12-26 10,0.7777777777777778
2015-12-31 05,3.1578947368421053
2015-11-06 04,-1.0
2015-11-27 23,2.9166666666666665
2015-12-14 13,1.5263157894736843
2015-12-24 12,0.5384615384615384
2015-12-25 14,0.3333333333333333
2015-12-31 23,10.5
2016-01-13 07,2.0
2015-11-09 22,3.6666666666666665
2015-11-12 22,4.222222222222222
2015-11-28 08,0.8333333333333334
2015-12-04 22,4.5
2015-12-19 06,0.16666666666666666
2015-12-27 11,2.6666666666666665
2016-01-03 13,0.375
2016-01-09 22,1.0
2016-01-11 20,11.434782608695652
2015-03-01 09,-1.0
2015-11-05 12,-1.0
2015-11-09 19,1.5
2015-12-01 07,-0.08695652173913043
2015-12-10 06,0.8666666666666667
2015-12-17 21,0.3125
2015-12-18 22,6.45
2015-12-19 20,2.5
2015-12-27 13,13.76923076923077
2016-01-06 13,3.7
2016-01-09 01,3.3636363636363638
2016-01-10 08,0.0
2016-01-10 23,1.8571428571428572
2016-01-11 03,0.45454545454545453
2016-01-11 07,2.4444444444444446
2015-11-05 07,-1.0
2015-11-06 06,-1.0
2015-11-18 06,0.45454545454545453
2015-11-26 14,4.545454545454546
2015-11-10 19,0.47058823529411764
2015-11-12 19,2.5
2015-11-16 03,0.8421052631578947
2015-12-06 12,1.7272727272727273
2015-12-16 02,10.666666666666666
2015-11-24 07,0.17391304347826086
2015-08-27 00,-1.0
2015-11-11 20,13.3125
2015-12-06 15,6.363636363636363
2015-12-08 14,1.8
2015-10-21 07,-1.0
2015-11-05 02,-1.0
2015-11-16 07,4.166666666666667
2015-11-28 10,1.8
2015-12-04 10,1.105263157894737
2015-12-09 17,12.733333333333333
2015-12-12 05,1.0
2015-12-28 02,5.2
2016-01-04 09,0.8
2015-10-19 00,-1.0
2015-11-08 15,0.0
2015-11-09 01,-1.0
2015-11-19 18,6.0
2015-11-21 17,2.588235294117647
2015-11-28 17,5.916666666666667
2015-12-02 12,4.555555555555555
2015-12-04 02,1.4
2015-12-12 13,6.0
2015-12-15 02,2.857142857142857
2015-12-22 22,9.941176470588236
2016-01-02 17,4.555555555555555
2016-01-03 14,5.777777777777778
2016-01-06 07,2.2
2015-11-07 23,-1.0
2015-11-10 00,-0.08333333333333333
2015-11-14 17,-0.3333333333333333
2015-11-15 07,1.0
2015-11-20 00,5.536585365853658
2015-11-21 23,8.666666666666666
2015-11-30 00,4.0
2015-12-03 03,0.6666666666666666
2015-12-05 04,2.6
2015-12-11 19,7.916666666666667
2015-12-13 09,0.2857142857142857
2015-12-15 23,5.153846153846154
2015-12-31 12,1.3333333333333333
2015-11-11 02,5.714285714285714
2015-11-18 10,-0.1111111111111111
2016-01-05 18,21.75
2016-01-07 19,3.260869565217391
2002-04-02 00,-1.0
2015-10-30 12,-1.0
2015-11-15 08,-0.3333333333333333
2015-11-16 20,4.083333333333333
2015-11-20 22,16.352941176470587
2015-11-24 11,7.904761904761905
2015-11-25 16,4.153846153846154
2015-12-01 03,1.4761904761904763
2015-12-02 05,0.6
2015-12-23 22,0.7142857142857143
2016-01-03 19,0.16666666666666666
2015-10-21 06,-1.0
2015-11-13 04,0.6
2015-11-15 09,1.25
2015-11-17 04,0.5
2015-12-06 04,1.0
2015-12-07 11,4.7368421052631575
2015-12-17 01,6.4
2015-12-25 22,0.0
2015-12-30 02,12.428571428571429
2016-01-08 23,1.2
2015-12-29 12,1.3076923076923077
2015-06-11 00,-1.0
2015-12-14 19,6.481481481481482
2015-12-20 03,1.5
2015-12-28 14,18.677419354838708
2016-01-08 07,0.6363636363636364
2015-11-09 12,0.375
2015-11-14 03,0.0
2015-11-18 20,0.4166666666666667
2015-11-25 13,2.6363636363636362
2015-11-29 17,8.785714285714286
2015-12-09 19,5.956521739130435
2015-12-21 02,6.1875
2015-11-10 15,12.0
2015-11-25 11,2.2
2015-12-18 04,1.0
2016-01-07 22,1.9523809523809523
2016-01-08 11,1.7916666666666667
2016-01-13 20,6.842105263157895
2016-01-14 00,2.76
2016-01-14 16,4.157894736842105
2015-11-24 09,1.45
2015-10-18 00,-1.0
2015-11-12 16,2.1052631578947367
2015-11-18 21,4.833333333333333
2015-12-19 23,0.16666666666666666
2015-12-28 22,1.0
2015-11-12 04,0.14285714285714285
2015-11-17 01,6.076923076923077
2015-12-04 05,2.2
2015-12-07 21,8.375
2015-12-08 21,2.5833333333333335
2015-12-09 00,2.7333333333333334
2015-12-23 00,1.457142857142857
2015-12-27 04,10.857142857142858
2015-12-30 22,4.428571428571429
2016-01-02 21,2.3636363636363638
2016-01-07 08,2.3846153846153846
2016-01-08 21,4.1875
2016-01-10 22,5.0
2015-03-01 16,-1.0
2015-10-31 04,-1.0
2015-11-14 01,0.5
2015-11-24 01,2.5
2015-12-19 22,2.3333333333333335
2015-12-22 15,8.92
2015-12-30 14,2.5652173913043477
2016-01-09 15,2.4444444444444446
2016-01-09 16,10.0
2016-01-11 21,6.578947368421052
2015-11-08 09,0.0
2015-11-23 14,11.518518518518519
2015-12-11 05,4.1
2015-12-12 02,0.8888888888888888
2016-01-13 08,3.769230769230769
2016-02-28 14,2.3636363636363638
2015-11-07 14,-1.0
2015-11-10 09,0.8125
2015-11-11 09,7.352941176470588
2015-11-21 12,5.166666666666667
2015-12-14 02,16.428571428571427
2015-12-18 00,0.8076923076923077
2015-12-18 12,1.131578947368421
2015-12-22 04,5.333333333333333
2015-12-22 21,2.8181818181818183
2015-12-23 21,3.9375
2015-12-24 08,3.5
2015-12-27 00,0.4666666666666667
2015-10-24 19,-1.0
2015-11-13 19,1.5
2015-11-19 20,24.466666666666665
2015-12-06 07,2.4444444444444446
2015-12-08 19,1.2916666666666667
2015-12-16 17,8.0
2015-12-17 12,3.1481481481481484
2015-12-21 03,0.7
2016-01-02 22,26.8
2015-10-22 16,-1.0
2015-10-31 12,-1.0
2015-11-07 09,-1.0
2015-11-19 16,8.380952380952381
2015-12-07 02,7.580645161290323
2015-12-21 05,0.0
2015-12-21 08,0.1724137931034483
2015-09-09 00,-1.0
2015-10-21 00,-1.0
2015-10-31 13,-1.0
2015-11-13 05,1.8333333333333333
2015-11-22 21,1.7857142857142858
2015-11-23 04,0.0
2015-11-25 05,1.5
2015-12-01 06,0.6071428571428571
2015-12-09 15,4.714285714285714
2015-12-24 15,10.0
2015-12-26 00,2.3684210526315788
2015-12-29 04,2.272727272727273
2015-12-30 20,6.5625
2016-01-03 16,16.928571428571427
2016-01-04 23,13.173913043478262
2016-01-05 14,2.0952380952380953
2015-10-28 07,-1.0
2015-11-17 11,0.7
2015-11-17 14,1.0555555555555556
2015-12-01 20,3.772727272727273
2015-12-04 23,2.0625
2016-01-01 05,1.1428571428571428
2016-01-02 13,2.7222222222222223
2016-01-11 01,1.375
2015-10-13 21,-1.0
2015-11-15 02,0.6666666666666666
2015-11-24 00,4.666666666666667
2015-11-28 21,2.0
2015-11-29 16,2.8095238095238093
2015-12-09 10,2.238095238095238
2015-12-12 06,5.0
2015-12-29 22,7.428571428571429
2016-01-07 17,6.681818181818182
2016-01-11 11,4.88
2015-11-06 20,-1.0
2015-11-18 13,1.0909090909090908
2015-11-24 03,9.5
2015-11-26 12,1.6
2015-11-27 07,4.916666666666667
2015-11-29 09,5.666666666666667
2015-11-29 13,0.2857142857142857
2015-12-07 01,14.03225806451613
2015-12-08 10,8.238095238095237
2015-12-23 02,2.1666666666666665
2015-12-24 09,1.3529411764705883
2015-12-30 00,1.7741935483870968
2016-01-05 06,12.333333333333334
2015-11-03 16,-1.0
2015-11-19 05,16.0
2015-12-03 18,12.083333333333334
2015-12-11 18,4.411764705882353
2015-12-15 17,9.875
2015-12-25 15,0.5714285714285714
2016-01-01 23,0.4
2016-01-02 12,0.0
2015-10-27 10,-1.0
2015-11-08 21,2.0
2015-11-12 12,19.615384615384617
2015-11-18 17,2.5555555555555554
2015-11-26 01,20.352941176470587
2016-01-01 02,14.4
2016-01-01 17,4.0
2015-11-20 01,1.4666666666666666
2015-11-20 14,10.185185185185185
2015-11-28 07,5.5
2015-11-30 21,7.36
2015-12-02 22,6.444444444444445
2015-12-20 15,0.0
2015-10-20 02,-1.0
2015-11-04 05,-1.0
2015-12-10 12,1.7916666666666667
2015-12-16 21,7.4
2015-12-21 06,0.3333333333333333
2015-12-28 05,1.8571428571428572
2016-01-01 11,24.0
2015-11-04 06,-1.0
2015-11-06 02,-1.0
2015-11-16 21,8.0
2015-11-30 20,2.0303030303030303
2015-12-09 07,0.8571428571428571
2015-12-17 18,8.633333333333333
2016-01-06 23,6.333333333333333
2015-11-14 15,2.25
2015-11-16 16,1.2173913043478262
2015-12-03 22,1.6875
2015-12-20 22,13.272727272727273
2015-12-25 06,0.5
2016-01-04 00,3.4
2016-01-11 05,0.5909090909090909
2015-10-26 00,-1.0
2015-10-27 12,-1.0
2015-10-30 11,-1.0
2015-11-13 02,2.4210526315789473
2015-11-21 07,0.5
2015-11-26 23,0.0
2015-12-06 23,4.923076923076923
2015-12-12 15,32.92307692307692
2015-12-12 18,3.6666666666666665
2015-12-13 17,3.3333333333333335
2015-12-24 21,3.076923076923077
2016-01-01 13,4.5
2016-01-04 02,4.5
2015-11-03 13,-1.0
2015-12-04 06,13.785714285714286
2015-12-05 07,0.1111111111111111
2015-12-09 20,2.32
2015-12-19 03,0.0
2015-10-27 06,-1.0
2015-10-29 20,-1.0
2015-11-04 11,-1.0
2015-11-27 14,1.4375
2015-12-05 15,12.0
2015-12-10 05,1.1666666666666667
2015-12-16 07,1.0
2015-12-18 03,3.2222222222222223
2015-12-22 12,3.033333333333333
2016-01-09 18,6.75
2015-11-07 15,-1.0
2015-11-20 04,3.066666666666667
2015-12-02 20,5.555555555555555
2015-12-14 12,1.75
2015-12-17 09,1.5555555555555556
2015-12-18 09,2.3684210526315788
2015-12-22 20,4.352941176470588
2015-12-30 06,0.5714285714285714
2016-01-02 05,0.3333333333333333
2015-03-01 03,-1.0
2015-11-09 17,0.7
2015-12-15 18,9.347826086956522
2015-12-28 20,2.7777777777777777
2016-01-03 03,18.142857142857142
2016-01-09 21,0.75
2015-10-15 10,-1.0
2015-11-21 13,5.0
2015-11-22 13,5.444444444444445
2015-11-26 20,11.166666666666666
2015-11-28 18,7.888888888888889
2015-11-30 05,2.1
2015-12-05 20,0.3333333333333333
2015-12-12 00,2.076923076923077
2015-12-17 10,9.529411764705882
2015-12-27 18,1.9090909090909092
2015-12-30 23,4.35
2016-01-02 19,15.125
2016-01-04 06,1.25
2016-01-04 10,3.4761904761904763
2016-01-09 00,3.892857142857143
2016-01-11 16,7.24
2015-03-01 20,-1.0
2015-10-22 06,-1.0
2015-10-30 01,-1.0
2015-11-18 00,18.53488372093023
2015-11-19 14,4.2631578947368425
2015-12-04 14,14.205882352941176
2015-12-10 22,2.9285714285714284
2015-12-24 00,0.48
2016-01-03 18,6.7894736842105265
2015-11-06 12,-1.0
2015-11-11 16,2.4375
2015-11-13 07,3.3846153846153846
2015-11-13 10,2.6470588235294117
2015-11-23 12,8.444444444444445
2015-11-28 03,3.75
2015-12-04 13,3.2916666666666665
2015-12-08 03,0.4
2015-12-18 07,0.6363636363636364
2015-12-24 16,2.2222222222222223
2016-01-08 20,3.4
2015-11-01 00,-1.0
2015-11-22 08,4.75
2015-12-05 08,3.1666666666666665
2016-01-10 13,1.8333333333333333
2016-01-11 06,0.6551724137931034
2015-10-22 20,-1.0
2015-11-06 10,-1.0
2015-11-15 01,6.333333333333333
2015-12-01 05,4.464285714285714
2015-12-04 12,0.2857142857142857
2015-12-18 15,15.5
2016-01-02 03,8.4
2016-01-13 18,3.92
2015-11-09 14,12.333333333333334
2015-11-17 15,2.1333333333333333
2015-11-25 00,3.6136363636363638
2015-11-28 20,27.0
2015-11-30 22,2.642857142857143
2015-12-01 19,10.3
2015-12-06 14,3.0
2015-12-11 11,4.6923076923076925
2015-12-22 05,0.8846153846153846
2015-12-28 00,2.1363636363636362
2015-12-30 07,1.3636363636363635
2016-01-06 12,1.5
2015-11-19 00,13.474576271186441
2015-12-04 16,25.333333333333332
2015-12-27 22,3.9166666666666665
2015-12-29 11,19.125
2016-01-14 09,6.9375
2015-11-14 22,0.0
2015-11-17 21,1.625
2015-11-21 14,0.6363636363636364
2015-11-22 06,1.125
2015-11-27 09,3.923076923076923
2015-11-29 03,21.714285714285715
2015-11-29 11,2.2
2015-11-29 23,13.333333333333334
2015-12-14 10,10.176470588235293
2015-12-22 03,2.357142857142857
2016-01-05 00,9.847826086956522
2016-01-08 13,3.838709677419355
2016-01-09 05,6.25
2016-01-14 05,1.375
2015-11-19 01,1.0
2015-11-19 08,-0.09090909090909091
2015-12-11 01,0.3333333333333333
2015-12-12 09,2.1666666666666665
2016-01-05 16,12.464285714285714
